"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"1",0.221897810218978,0.0072992700729927,0.00291970802919708,0.00291970802919708,0.00875912408759124,0.00291970802919708,0.0072992700729927,0.00437956204379562,0.00437956204379562,0.00291970802919708,0.00291970802919708,0.00437956204379562,0.0072992700729927,0.0072992700729927,0.00291970802919708,0.0072992700729927,0.00291970802919708,0.00437956204379562,0.156204379562044,0.00291970802919708,0.00583941605839416,0.51970802919708,0.00437956204379562,0.00291970802919708,0.00291970802919708
"2",0.767123287671233,0.00587084148727984,0.00391389432485323,0.00782778864970646,0.00978473581213307,0.00391389432485323,0.0215264187866928,0.00391389432485323,0.00391389432485323,0.00391389432485323,0.0195694716242661,0.00978473581213307,0.0313111545988258,0.00587084148727984,0.00782778864970646,0.0117416829745597,0.00391389432485323,0.00587084148727984,0.00391389432485323,0.00978473581213307,0.00978473581213307,0.00587084148727984,0.0117416829745597,0.00978473581213307,0.0215264187866928
"3",0.00630914826498423,0.0331230283911672,0.0141955835962145,0.0157728706624606,0.026813880126183,0.0173501577287066,0.00788643533123028,0.0141955835962145,0.648264984227129,0.00473186119873817,0.00788643533123028,0.00788643533123028,0.00788643533123028,0.0110410094637224,0.0741324921135647,0.0126182965299685,0.00788643533123028,0.0141955835962145,0.00946372239747634,0.0220820189274448,0.00473186119873817,0.0110410094637224,0.00788643533123028,0.00473186119873817,0.00788643533123028
"4",0.00816326530612245,0.00408163265306122,0.0142857142857143,0.0163265306122449,0.0163265306122449,0.00816326530612245,0.0183673469387755,0.0387755102040816,0.0102040816326531,0.0163265306122449,0.0306122448979592,0.00816326530612245,0.0204081632653061,0.00612244897959184,0.66734693877551,0.0285714285714286,0.0102040816326531,0.00612244897959184,0.00816326530612245,0.0122448979591837,0.00612244897959184,0.0122448979591837,0.00408163265306122,0.00612244897959184,0.0224489795918367
"5",0.00300751879699248,0.778195488721805,0.00601503759398496,0.0165413533834586,0.0300751879699248,0.00150375939849624,0.00300751879699248,0.0210526315789474,0.00526315789473684,0.00225563909774436,0.0383458646616541,0.00150375939849624,0.00827067669172932,0.00300751879699248,0.00977443609022556,0.0293233082706767,0.00676691729323308,0.0037593984962406,0.00601503759398496,0.00526315789473684,0.00225563909774436,0.00676691729323308,0.00451127819548872,0.00526315789473684,0.00225563909774436
"6",0.00522648083623693,0.00522648083623693,0.00522648083623693,0.0121951219512195,0.00348432055749129,0.00348432055749129,0.0104529616724739,0.0139372822299652,0.00522648083623693,0.00522648083623693,0.00871080139372822,0.00522648083623693,0.00348432055749129,0.00522648083623693,0.00522648083623693,0.00522648083623693,0.00522648083623693,0.857142857142857,0.00348432055749129,0.00348432055749129,0.00696864111498258,0.00348432055749129,0.00522648083623693,0.00522648083623693,0.00696864111498258
"7",0.00223214285714286,0.00558035714285714,0.00223214285714286,0.00223214285714286,0.00223214285714286,0.00223214285714286,0.00223214285714286,0.00334821428571429,0.00446428571428571,0.00334821428571429,0.00223214285714286,0.00334821428571429,0.00223214285714286,0.00223214285714286,0.00223214285714286,0.00223214285714286,0.00669642857142857,0.00334821428571429,0.015625,0.00223214285714286,0.915178571428571,0.00223214285714286,0.00446428571428571,0.00334821428571429,0.00223214285714286
"8",0.00239808153477218,0.00359712230215827,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00359712230215827,0.00239808153477218,0.00239808153477218,0.00359712230215827,0.00239808153477218,0.00359712230215827,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.934052757793765,0.00239808153477218,0.00239808153477218,0.00239808153477218,0.00359712230215827,0.00239808153477218,0.00359712230215827,0.00239808153477218,0.00359712230215827
"9",0.005249343832021,0.0144356955380577,0.00393700787401575,0.0026246719160105,0.00393700787401575,0.015748031496063,0.005249343832021,0.00656167979002625,0.00656167979002625,0.0078740157480315,0.871391076115486,0.0026246719160105,0.0026246719160105,0.00393700787401575,0.00393700787401575,0.00393700787401575,0.00656167979002625,0.0026246719160105,0.0026246719160105,0.005249343832021,0.00393700787401575,0.0026246719160105,0.0078740157480315,0.005249343832021,0.0026246719160105
"10",0.0108191653786708,0.00463678516228748,0.00463678516228748,0.00463678516228748,0.00309119010819165,0.894899536321484,0.00618238021638331,0.00772797527047913,0.00309119010819165,0.00463678516228748,0.00463678516228748,0.00309119010819165,0.00463678516228748,0.00309119010819165,0.00309119010819165,0.00309119010819165,0.00309119010819165,0.00309119010819165,0.00309119010819165,0.00309119010819165,0.00463678516228748,0.00463678516228748,0.00309119010819165,0.00463678516228748,0.00463678516228748
